fid,place,wikipedia,wikidata,name,present,dimensions,interpreted
"408",village,it:Collagna,Q111173,Collagna,,,
"409",village,it:Cervarezza Terme,Q18446733,Cervarezza,,,
"410",village,it:Gabbro (Rosignano Marittimo),Q3756409,Gabbro,,,
"411",village,it:Ambra (Bucine),Q3613790,Ambra,,,
"412",village,it:Capannole,Q18484425,Capannole,,,
"413",village,it:Isola d'Arbia,Q16566532,Isola d'Arbia,,,
"414",village,it:Taverne d'Arbia,Q3981593,Taverne d'Arbia,,,
"415",village,it:Arbia (Asciano),Q3483653,Arbia,,,
"417",village,,Q18438320,Fiesso,,,
"418",village,it:Rigomagno,Q1957916,Rigomagno,,,
"419",village,,Q18485998,San Pancrazio,,,
"420",village,,Q18485644,Mercatale Valdarno,,,
"421",village,it:Villanova (Castenaso),Q4012883,Villanova di Castenaso,,,
"422",village,it:Stiava,Q3973481,Stiava,,,
"423",village,,Q18438622,Riccardina,,,
"424",village,it:Mezzolara,Q16268541,Mezzolara,,,
"425",village,it:Cenaia,Q17624532,Cenaia,,,
"426",village,,Q18438790,Vigorso,,,
"427",village,,Q18488799,Massaciuccoli,,,
"428",village,it:Tirrenia,Q1233252,Tirrenia,,,
"429",village,,,Stiatico,,,
"430",village,,Q18485842,Pogi,,,
"431",village,it:Levane,Q763634,Levane,,,
"432",village,it:Moncioni,Q1859907,Moncioni,,,
"433",village,en:Nusenna,Q18491810,Nusenna,,,
"434",village,it:Serre di Rapolano,Q2273991,Serre di Rapolano,,,
"435",village,,Q33429781,Cesa,,,
"436",village,,Q18485661,Montagnano,,,
"437",village,,Q18485797,Pieve al Toppo,,,
"438",village,it:Nozzano,Q16583142,Nozzano Castello,,,
"439",village,,,Balbano,,,
"440",village,it:Punta Marina Terme,Q3925694,Punta Marina Terme,,,
"441",village,it:Staffoli,Q3967996,Staffoli,,,
"442",village,"en:Galleno, Tuscany",Q18486941,Galleno,,,
"443",village,,,San Donato,,,
"444",village,,Q26807268,Capanne,,,
"445",village,it:Titignano (Cascina),Q3991841,Titignano,,,
"446",village,it:Popiglio,Q609171,Popiglio,,,
"447",village,,Q42111428,La Lima,,,
"448",village,it:Mezzana (San Giuliano Terme),Q20009233,Mezzana,,,
